track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:50,Good,2m 3f 100y,Fly De Megaudais (FR),S F O'Keeffe,0,M J McDonagh,4th,7 l,11,10-5,72,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Aliunde (IRE),P T Enright,0,M M McNiff,3rd,19 l,7,11-12t,93,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Finnians Row (IRE),P M O'Brien,7,D A McLoughlin,2nd,1 3/4 l,8,11-9tv,90,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Calahill (IRE),C P Millar,7,C Collins,1st,N/A,9,10-13p,80,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,The Declaimer (IRE),K M Donoghue,0,Tom Dreaper,PU,N/A,8,12-0,95,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Robin De Roost (IRE),C McGivern,7,T Gibney,PU,N/A,14,10-8t,75,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Coastguard Lady (IRE),T Power Roche,7,P J Rothwell,9th,4 1/2 l,6,10-13tp,80,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Wee Jerry (IRE),C Stone-Walsh,5,Ian Donoghue,8th,2 1/2 l,8,10-11,78,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Moneynabane (IRE),P Byrnes,0,Ian Donoghue,7th,2 3/4 l,6,11-7p1,88,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Desert Heather (IRE),S Fitzgerald,0,R Sweeney,6th,1/2 l,8,11-5t,86,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Fr Gilligansvoyge,J Coen,3,John G Carr,5th,3 1/4 l,11,10-0tv,67,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Fly De Megaudais (FR),S F O'Keeffe,0,M J McDonagh,4th,7 l,11,10-5,72,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Aliunde (IRE),P T Enright,0,M M McNiff,3rd,19 l,7,11-12t,93,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Finnians Row (IRE),P M O'Brien,7,D A McLoughlin,2nd,1 3/4 l,8,11-9tv,90,True,136,17
N/A,N/A,16:50,Good,2m 3f 100y,Calahill (IRE),C P Millar,7,C Collins,1st,N/A,9,10-13p,80,True,136,17
N/A,N/A,17:25,Good,2m 1f 165y,Presenting Lad (IRE),A Harvey,5,M M McNiff,NR,N/A,8,12-5t,121,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Marelly (IRE),T Power Roche,7,P J Rothwell,7th,74 l,7,11-0p,102,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Winding River (IRE),P T Enright,0,O McKiernan,6th,1/2 l,7,11-6tp,108,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Son Of Hypnos (IRE),C P Millar,7,K Smith,5th,3/4 l,7,11-7tb,109,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Faux Fur (FR),J W Kennedy,0,G Elliott,4th,Neck,5,11-12,114,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Ahead Of The Posse (IRE),K M Donoghue,0,G P Cromwell,3rd,1 3/4 l,7,11-7p,109,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Sadies Diamond (IRE),P Hanlon,7,J J Hanlon,2nd,5 1/2 l,5,10-2,90,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Ricky Langford (IRE),C Owens,7,P J Rothwell,1st,N/A,10,10-2b,90,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Presenting Lad (IRE),A Harvey,5,M M McNiff,NR,N/A,8,12-5t,121,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Marelly (IRE),T Power Roche,7,P J Rothwell,7th,74 l,7,11-0p,102,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Winding River (IRE),P T Enright,0,O McKiernan,6th,1/2 l,7,11-6tp,108,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Son Of Hypnos (IRE),C P Millar,7,K Smith,5th,3/4 l,7,11-7tb,109,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Faux Fur (FR),J W Kennedy,0,G Elliott,4th,Neck,5,11-12,114,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Ahead Of The Posse (IRE),K M Donoghue,0,G P Cromwell,3rd,1 3/4 l,7,11-7p,109,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Sadies Diamond (IRE),P Hanlon,7,J J Hanlon,2nd,5 1/2 l,5,10-2,90,True,136,18
N/A,N/A,17:25,Good,2m 1f 165y,Ricky Langford (IRE),C Owens,7,P J Rothwell,1st,N/A,10,10-2b,90,True,136,18
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Champagne Avenue (IRE),J G Gilligan,4,T J O'Mara,NR,N/A,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Dr Pep (FR),Conor Clarke,4,S Curling,NR,N/A,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Granpa Ger (IRE),J P Shinnick,2,A Mullins,NR,N/A,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Im Here Now (IRE),J Aherne,4,J P Ryan,PU,N/A,7,11-5,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Macantuile (IRE),T Joseph Kelly,4,Leonard Flynn,13th,1/2 l,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Youmzain Bolt (IRE),G B Noonan,0,E McCarthy,12th,42 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Notevenatext (IRE),Shane Fenelon,4,Brendan Walsh,11th,2 3/4 l,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Three Tribes (IRE),R P Geoghegan,4,B T Murphy,10th,21 l,7,11-12h1,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,On The Gandy Hop (FR),P K Donovan,0,D Hogan,9th,17 l,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Jack Booner (IRE),P T Smithers,4,Ciaran Murphy,8th,29 l,4,11-9t1,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Silver Mill (IRE),C G O'Dwyer,2,J P Ryan,7th,5 1/2 l,5,11-5,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Eoin's Charm (IRE),C M Quirke,2,A Slattery,6th,16 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Marlpark (IRE),S Cleary-Farrell,4,J P Ryan,5th,5 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,One Big Boum (IRE),Niall Moore,4,P Fenton,4th,18 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Eastbank Warrior (IRE),J P Shinnick,2,Jonathan Sweeney,3rd,3 3/4 l,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Mount Anglesby (IRE),S O'Callaghan,2,R O'Brien,2nd,5 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Tell Me This (IRE),T P Harney,4,R O'Sullivan,1st,N/A,6,11-5,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Champagne Avenue (IRE),J G Gilligan,4,T J O'Mara,NR,N/A,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Dr Pep (FR),Conor Clarke,4,S Curling,NR,N/A,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Granpa Ger (IRE),J P Shinnick,2,A Mullins,NR,N/A,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Im Here Now (IRE),J Aherne,4,J P Ryan,PU,N/A,7,11-5,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Macantuile (IRE),T Joseph Kelly,4,Leonard Flynn,13th,1/2 l,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Youmzain Bolt (IRE),G B Noonan,0,E McCarthy,12th,42 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Notevenatext (IRE),Shane Fenelon,4,Brendan Walsh,11th,2 3/4 l,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Three Tribes (IRE),R P Geoghegan,4,B T Murphy,10th,21 l,7,11-12h1,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,On The Gandy Hop (FR),P K Donovan,0,D Hogan,9th,17 l,4,11-9,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Jack Booner (IRE),P T Smithers,4,Ciaran Murphy,8th,29 l,4,11-9t1,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Silver Mill (IRE),C G O'Dwyer,2,J P Ryan,7th,5 1/2 l,5,11-5,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Eoin's Charm (IRE),C M Quirke,2,A Slattery,6th,16 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Marlpark (IRE),S Cleary-Farrell,4,J P Ryan,5th,5 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,One Big Boum (IRE),Niall Moore,4,P Fenton,4th,18 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Eastbank Warrior (IRE),J P Shinnick,2,Jonathan Sweeney,3rd,3 3/4 l,6,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Mount Anglesby (IRE),S O'Callaghan,2,R O'Brien,2nd,5 l,5,11-12,-,True,136,19
N/A,N/A,17:10,Yielding To Soft,2m 2f 52y,Tell Me This (IRE),T P Harney,4,R O'Sullivan,1st,N/A,6,11-5,-,True,136,19
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Leitzel,D King,0,A McNamara,5th,15 l,4,10-0,101,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Burvea (IRE),K C Sexton,0,D Broad,4th,1 1/2 l,4,10-3h,105,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Kimy (FR),Rachael Blackmore,0,T Mullins,3rd,1 1/4 l,4,10-2,104,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Mordor (FR),Sam Ewing,0,G Elliott,2nd,1 3/4 l,4,11-12,128,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Pigeon House (IRE),M P Walsh,0,Mrs J Harrington,1st,N/A,4,11-10p,126,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Leitzel,D King,0,A McNamara,5th,15 l,4,10-0,101,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Burvea (IRE),K C Sexton,0,D Broad,4th,1 1/2 l,4,10-3h,105,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Kimy (FR),Rachael Blackmore,0,T Mullins,3rd,1 1/4 l,4,10-2,104,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Mordor (FR),Sam Ewing,0,G Elliott,2nd,1 3/4 l,4,11-12,128,True,136,20
N/A,N/A,17:40,Yielding To Soft,2m 2f 52y,Pigeon House (IRE),M P Walsh,0,Mrs J Harrington,1st,N/A,4,11-10p,126,True,136,20
N/A,N/A,18:10,Soft,2m 6f 90y,Barnahash Arch (IRE),B Hayes,0,Jonathan Sweeney,NR,N/A,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Workinonadream (IRE),S D Torrens,0,P J Rothwell,NR,N/A,6,10-13p1,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Hysuna (IRE),L A McKenna,5,R A Foley,PU,N/A,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Doyen Og (IRE),H E Sexton,7,A Sexton,12th,99 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Get In Line (IRE),Rachael Blackmore,0,W P Mullins,11th,3 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Inch Alainn (IRE),R A Doyle,0,W J Burke,10th,11 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Kate Knows Best (IRE),D E Mullins,0,J P Ryan,9th,3 3/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Who Ate The Jam (IRE),Mr P W Gleeson,7,J F Gleeson,8th,2 3/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Youghalvalley (IRE),D Moloney,7,B McMahon,7th,3 1/4 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Broomfield Gale (IRE),M Hamill,0,R Murphy,6th,15 l,6,10-13t,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Gina Moon (IRE),Sam Ewing,0,G Elliott,5th,5 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Mount Shenshan (IRE),S W Flanagan,0,T Mullins,4th,Head,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Diamonds Diva (IRE),D Meyler,0,Mrs J Harrington,3rd,8 l,4,10-9,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Ah Fuhgeddaboudit (IRE),D King,0,D Hogan,2nd,3 1/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Lucky Viv (IRE),J P Shinnick,5,Michael Barry,1st,N/A,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Barnahash Arch (IRE),B Hayes,0,Jonathan Sweeney,NR,N/A,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Workinonadream (IRE),S D Torrens,0,P J Rothwell,NR,N/A,6,10-13p1,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Hysuna (IRE),L A McKenna,5,R A Foley,PU,N/A,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Doyen Og (IRE),H E Sexton,7,A Sexton,12th,99 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Get In Line (IRE),Rachael Blackmore,0,W P Mullins,11th,3 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Inch Alainn (IRE),R A Doyle,0,W J Burke,10th,11 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Kate Knows Best (IRE),D E Mullins,0,J P Ryan,9th,3 3/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Who Ate The Jam (IRE),Mr P W Gleeson,7,J F Gleeson,8th,2 3/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Youghalvalley (IRE),D Moloney,7,B McMahon,7th,3 1/4 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Broomfield Gale (IRE),M Hamill,0,R Murphy,6th,15 l,6,10-13t,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Gina Moon (IRE),Sam Ewing,0,G Elliott,5th,5 l,5,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Mount Shenshan (IRE),S W Flanagan,0,T Mullins,4th,Head,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Diamonds Diva (IRE),D Meyler,0,Mrs J Harrington,3rd,8 l,4,10-9,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Ah Fuhgeddaboudit (IRE),D King,0,D Hogan,2nd,3 1/4 l,6,10-13,-,True,136,21
N/A,N/A,18:10,Soft,2m 6f 90y,Lucky Viv (IRE),J P Shinnick,5,Michael Barry,1st,N/A,6,10-13,-,True,136,21
N/A,N/A,18:40,Soft,2m 6f 90y,Danesfort Mayfly (IRE),C M Quirke,5,W J Lanigan,NR,N/A,7,10-13tp,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Essential Part (IRE),H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Mademewhatiam,J P O'Sullivan,0,P Nolan,PU,N/A,5,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Spellacy's Cross (IRE),D E Mullins,0,T Mullins,PU,N/A,5,11-6,87,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Miss Vivacious (IRE),K E Buckley,0,T Gibney,PU,N/A,6,11-11,92,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Le Grand Vert (FR),D Meyler,0,J P Dempsey,PU,N/A,8,11-4tp,85,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Kiln Time (IRE),B Hayes,0,M J Bowe,PU,N/A,8,12-0,95,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Derby De Thaix (FR),Miss H Heffernan,7,James Andrew Fahey,10th,51 l,11,11-1,82,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Maid On The Moon,Ms H Phillips,7,Miss E Lalor,9th,2 l,7,11-9,90,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Church Lane (IRE),Sam Ewing,0,Brendan Walsh,8th,18 l,9,10-13t,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Miss Laura (IRE),D J O'Keeffe,0,Brendan Walsh,7th,21 l,9,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Tuff Days (IRE),J P Shinnick,5,Michael Barry,6th,14 l,7,11-7p,88,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Great Rainbow (FR),R Deegan,0,B McMahon,5th,4 l,6,11-2,83,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Johnny Cakes (FR),S D Torrens,0,P J Rothwell,4th,1 3/4 l,5,10-13p,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Mini Getaway (IRE),C G O'Dwyer,5,M M Lynch,3rd,3 1/4 l,7,11-3,84,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,I Am Rocco,J J Slevin,0,B McMahon,2nd,14 l,7,12-0,95,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Avec Espoir,G B Noonan,5,V T O'Brien,1st,N/A,11,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Danesfort Mayfly (IRE),C M Quirke,5,W J Lanigan,NR,N/A,7,10-13tp,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Essential Part (IRE),H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Mademewhatiam,J P O'Sullivan,0,P Nolan,PU,N/A,5,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Spellacy's Cross (IRE),D E Mullins,0,T Mullins,PU,N/A,5,11-6,87,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Miss Vivacious (IRE),K E Buckley,0,T Gibney,PU,N/A,6,11-11,92,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Le Grand Vert (FR),D Meyler,0,J P Dempsey,PU,N/A,8,11-4tp,85,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Kiln Time (IRE),B Hayes,0,M J Bowe,PU,N/A,8,12-0,95,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Derby De Thaix (FR),Miss H Heffernan,7,James Andrew Fahey,10th,51 l,11,11-1,82,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Maid On The Moon,Ms H Phillips,7,Miss E Lalor,9th,2 l,7,11-9,90,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Church Lane (IRE),Sam Ewing,0,Brendan Walsh,8th,18 l,9,10-13t,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Miss Laura (IRE),D J O'Keeffe,0,Brendan Walsh,7th,21 l,9,10-13,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Tuff Days (IRE),J P Shinnick,5,Michael Barry,6th,14 l,7,11-7p,88,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Great Rainbow (FR),R Deegan,0,B McMahon,5th,4 l,6,11-2,83,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Johnny Cakes (FR),S D Torrens,0,P J Rothwell,4th,1 3/4 l,5,10-13p,80,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Mini Getaway (IRE),C G O'Dwyer,5,M M Lynch,3rd,3 1/4 l,7,11-3,84,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,I Am Rocco,J J Slevin,0,B McMahon,2nd,14 l,7,12-0,95,True,136,22
N/A,N/A,18:40,Soft,2m 6f 90y,Avec Espoir,G B Noonan,5,V T O'Brien,1st,N/A,11,10-13,80,True,136,22
N/A,N/A,19:10,Soft,2m 1f 43y,Thunder (IRE),Shane Fenelon,7,J P Ryan,5th,3/4 l,6,11-2,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Decimation (IRE),R P Treacy,0,E McNamara,4th,40 l,9,11-2,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Mount Frisco (IRE),D King,0,J P Ryan,3rd,10 l,5,11-7,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Je T'ai Porte (IRE),S W Flanagan,0,G P Cromwell,2nd,1 3/4 l,6,11-0h,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Dancing On My Own (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,10,11-2t,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Thunder (IRE),Shane Fenelon,7,J P Ryan,5th,3/4 l,6,11-2,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Decimation (IRE),R P Treacy,0,E McNamara,4th,40 l,9,11-2,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Mount Frisco (IRE),D King,0,J P Ryan,3rd,10 l,5,11-7,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Je T'ai Porte (IRE),S W Flanagan,0,G P Cromwell,2nd,1 3/4 l,6,11-0h,-,True,136,23
N/A,N/A,19:10,Soft,2m 1f 43y,Dancing On My Own (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,10,11-2t,-,True,136,23
N/A,N/A,19:40,Soft,2m 7f 58y,Deal Again (IRE),G B Noonan,5,V T O'Brien,NR,N/A,10,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Bua Boy (IRE),D King,0,D Hogan,NR,N/A,9,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Quest With Speed (IRE),D Meyler,0,J J Hanlon,NR,N/A,7,11-12b,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Ring O Roses,Rachael Blackmore,0,H De Bromhead,UR,N/A,6,11-5,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Longhouse Star (IRE),Mr J C Canavan,7,S Curling,PU,N/A,7,11-12b1,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Knocknaconnery (IRE),C M Quirke,5,S Curling,8th,50 l,8,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Donacheady Gale (IRE),J J Slevin,0,J P Ryan,7th,12 l,10,11-12p,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,6th,25 l,5,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Global Export (IRE),K E Buckley,0,G P Cromwell,5th,15 l,6,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,An Peann Dearg (IRE),S W Flanagan,0,P Nolan,4th,4 1/4 l,7,11-12ht,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Meyo,D J O'Keeffe,0,T Gibney,3rd,3/4 l,6,11-5,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Ossifer Hops (IRE),Sam Ewing,0,G Elliott,2nd,5 1/2 l,6,11-12p,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Linden Arden (IRE),B Hayes,0,M J Bowe,1st,N/A,6,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Deal Again (IRE),G B Noonan,5,V T O'Brien,NR,N/A,10,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Bua Boy (IRE),D King,0,D Hogan,NR,N/A,9,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Quest With Speed (IRE),D Meyler,0,J J Hanlon,NR,N/A,7,11-12b,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Ring O Roses,Rachael Blackmore,0,H De Bromhead,UR,N/A,6,11-5,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Longhouse Star (IRE),Mr J C Canavan,7,S Curling,PU,N/A,7,11-12b1,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Knocknaconnery (IRE),C M Quirke,5,S Curling,8th,50 l,8,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Donacheady Gale (IRE),J J Slevin,0,J P Ryan,7th,12 l,10,11-12p,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Joyeux Vivo (FR),M P Walsh,0,John E & Kiely,6th,25 l,5,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Global Export (IRE),K E Buckley,0,G P Cromwell,5th,15 l,6,11-12,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,An Peann Dearg (IRE),S W Flanagan,0,P Nolan,4th,4 1/4 l,7,11-12ht,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Meyo,D J O'Keeffe,0,T Gibney,3rd,3/4 l,6,11-5,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Ossifer Hops (IRE),Sam Ewing,0,G Elliott,2nd,5 1/2 l,6,11-12p,-,True,136,24
N/A,N/A,19:40,Soft,2m 7f 58y,Linden Arden (IRE),B Hayes,0,M J Bowe,1st,N/A,6,11-12,-,True,136,24
N/A,N/A,20:10,Soft,2m 87y,Mojitos Star (IRE),Miss G Benson,7,P Flood,8th,55 l,4,11-5,-,True,136,25
N/A,N/A,20:10,Soft,2m 87y,Shing Shilla (IRE),Mr F Maguire,0,A Sexton,7th,9 l,4,11-5,-,True,136,25
N/A,N/A,20:10,Soft,2m 87y,Only You Norah (IRE),Mr D Doyle,7,D Commins,6th,3 1/4 l,4,11-5,-,True,136,25
N/A,N/A,20:10,Soft,2m 87y,Fortuna Lora (IRE),Mr J P Sampson,7,D Hogan,5th,6 1/2 l,4,11-5,-,True,136,25
N/A,N/A,20:10,Soft,2m 87y,A New Deck (IRE),Mr J H Williamson,7,S Curling,4th,23 l,4,11-5,-,True,136,25
N/A,N/A,20:10,Soft,2m 87y,Time In A Bottle,Mr D T Hyde,7,H De Bromhead,3rd,10 l,4,11-5ht,-,True,136,25
