track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Cross Border,D S O'Sullivan,10,D W O'Sullivan,12th,Neck,4,9-10,66,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Half Nutz (IRE),R P Whelan,0,A McGuinness,11th,Head,7,9-11,67,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Superior Council (IRE),W M Lordan,0,J F Levins,10th,1 l,5,8-7v1,49,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Distillate,Adam Caffrey,5,A McGuinness,9th,Short Head,4,9-13t,69,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Run Forrest Run (IRE),S T McCullagh,3,M Fenton,8th,Neck,6,9-9,65,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,7th,1 l,6,10-0v,70,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Von Krolock (IRE),M W Hassett,5,T Doyle,6th,Neck,5,9-5,61,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Blanc De Noir (IRE),R M Mulligan,7,J P Murtagh,5th,Short Head,4,10-3,73,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Saturn Seven (IRE),S Foley,0,E Lynam,4th,Head,4,10-1,71,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Ice Cold In Alex (IRE),J A Powell,3,K J Condon,3rd,1 1/4 l,10,10-2t,72,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Rathbranchurch (IRE),W Joyce,5,M Mulvany,2nd,1/2 l,4,10-1,71,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Zaragoza (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-2p1,58,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-4,60,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,L'immortale (IRE),D E Sheehy,0,M C Grassick,19th,3/4 l,4,8-71,49,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Sin E Shekells,Siobhan Rutledge,3,J G Murray,18th,2 3/4 l,7,8-7p,49,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Amemri,A J Slattery,0,D Marnane,17th,Head,4,8-13,55,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Miqdaad (IRE),H J Horgan,5,D Hogan,16th,1 1/4 l,4,9-5p,61,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Bold Optimist (IRE),O McSweeney,3,Daniel McLoughlin,15th,Neck,4,10-2p,72,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Tai Sing Yeh (IRE),J M Sheridan,0,D Hogan,14th,1 l,10,9-12tb,68,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Wayne R Walker,N G McCullagh,0,D Kinsella,13th,1 1/2 l,5,8-11tb,53,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Cross Border,D S O'Sullivan,10,D W O'Sullivan,12th,Neck,4,9-10,66,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Half Nutz (IRE),R P Whelan,0,A McGuinness,11th,Head,7,9-11,67,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Superior Council (IRE),W M Lordan,0,J F Levins,10th,1 l,5,8-7v1,49,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Distillate,Adam Caffrey,5,A McGuinness,9th,Short Head,4,9-13t,69,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Run Forrest Run (IRE),S T McCullagh,3,M Fenton,8th,Neck,6,9-9,65,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,7th,1 l,6,10-0v,70,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Von Krolock (IRE),M W Hassett,5,T Doyle,6th,Neck,5,9-5,61,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Blanc De Noir (IRE),R M Mulligan,7,J P Murtagh,5th,Short Head,4,10-3,73,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Saturn Seven (IRE),S Foley,0,E Lynam,4th,Head,4,10-1,71,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Ice Cold In Alex (IRE),J A Powell,3,K J Condon,3rd,1 1/4 l,10,10-2t,72,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Rathbranchurch (IRE),W Joyce,5,M Mulvany,2nd,1/2 l,4,10-1,71,True,121,13
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Zaragoza (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-2p1,58,True,121,13
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Layoftheland (IRE),C T Keane,0,Sean Davis,NR,N/A,3,8-13t,60,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Blame Thechampagne (IRE),C J MacRedmond,5,A McGuinness,13th,1 3/4 l,3,9-9,70,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Katie Bairdie (IRE),D S O'Sullivan,10,J A Stack,12th,Neck,3,10-1p1,76,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Rosato (IRE),N G McCullagh,0,Charles Weld,11th,2 1/2 l,3,9-4,65,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,She's Smart (IRE),Adam Caffrey,5,A McGuinness,10th,Neck,3,9-9,70,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Barley Cove (IRE),W M Lordan,0,E Lynam,9th,1 1/4 l,3,9-5,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,The Bear Trap (IRE),P A Harnett,5,J Geoghegan,8th,1/2 l,3,10-0,75,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Byzantine Empress,J A Heffernan,0,Kevin Coleman,7th,3/4 l,3,9-5,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Clonmacash,W Joyce,5,N Lupini,6th,Short Head,3,10-4,79,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Elinor Dashwood (IRE),R P Whelan,0,A McGuinness,5th,1/2 l,3,10-1,76,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Avatar Jet (IRE),G F Carroll,0,M Fahey,4th,1 1/4 l,3,9-7,68,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Dark Viper,S Foley,0,Mrs J Harrington,3rd,1/2 l,3,9-0p,61,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Fivecromwellplace (IRE),N M Crosse,0,P F McEnery,2nd,1 1/2 l,3,9-5b1,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Salah Belle (IRE),R C Colgan,0,S Lavery,1st,N/A,3,9-13,74,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Layoftheland (IRE),C T Keane,0,Sean Davis,NR,N/A,3,8-13t,60,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Blame Thechampagne (IRE),C J MacRedmond,5,A McGuinness,13th,1 3/4 l,3,9-9,70,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Katie Bairdie (IRE),D S O'Sullivan,10,J A Stack,12th,Neck,3,10-1p1,76,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Rosato (IRE),N G McCullagh,0,Charles Weld,11th,2 1/2 l,3,9-4,65,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,She's Smart (IRE),Adam Caffrey,5,A McGuinness,10th,Neck,3,9-9,70,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Barley Cove (IRE),W M Lordan,0,E Lynam,9th,1 1/4 l,3,9-5,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,The Bear Trap (IRE),P A Harnett,5,J Geoghegan,8th,1/2 l,3,10-0,75,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Byzantine Empress,J A Heffernan,0,Kevin Coleman,7th,3/4 l,3,9-5,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Clonmacash,W Joyce,5,N Lupini,6th,Short Head,3,10-4,79,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Elinor Dashwood (IRE),R P Whelan,0,A McGuinness,5th,1/2 l,3,10-1,76,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Avatar Jet (IRE),G F Carroll,0,M Fahey,4th,1 1/4 l,3,9-7,68,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Dark Viper,S Foley,0,Mrs J Harrington,3rd,1/2 l,3,9-0p,61,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Fivecromwellplace (IRE),N M Crosse,0,P F McEnery,2nd,1 1/2 l,3,9-5b1,66,True,121,14
Curragh Racing Results | 5th June 2024 20:30,N/A,20:30,Good (Good To Firm In Places),6f 63y,Salah Belle (IRE),R C Colgan,0,S Lavery,1st,N/A,3,9-13,74,True,121,14
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Dahlia Noir (IRE),G M Ryan,0,Donnacha O'Brien,NR,N/A,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Goldino (IRE),R P Cleary,0,J S Bolger,9th,Neck,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Churchill Gale (IRE),J J G Ryan,5,T G McCourt,8th,1 3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Indigo Dream,D McMonagle,0,R O'Sullivan,7th,3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Vega's Muse,S Foley,0,Mrs J Harrington,6th,1 1/2 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Mykonian Odyssey (IRE),R P Whelan,0,B W Duke,5th,4 1/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Transcending (IRE),C T Keane,0,G M Lyons,4th,3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Queens Fury (FR),D Egan,0,A Murray,3rd,1/2 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Giselle (IRE),R L Moore,0,A P O'Brien,2nd,1 1/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Bedtime Story (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Dahlia Noir (IRE),G M Ryan,0,Donnacha O'Brien,NR,N/A,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Goldino (IRE),R P Cleary,0,J S Bolger,9th,Neck,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Churchill Gale (IRE),J J G Ryan,5,T G McCourt,8th,1 3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Indigo Dream,D McMonagle,0,R O'Sullivan,7th,3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Vega's Muse,S Foley,0,Mrs J Harrington,6th,1 1/2 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Mykonian Odyssey (IRE),R P Whelan,0,B W Duke,5th,4 1/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Transcending (IRE),C T Keane,0,G M Lyons,4th,3/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Queens Fury (FR),D Egan,0,A Murray,3rd,1/2 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Giselle (IRE),R L Moore,0,A P O'Brien,2nd,1 1/4 l,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 16:55,N/A,16:55,Good,7f 60y,Bedtime Story (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-2,-,True,121,15
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Ich Liebe Berlin (IRE),D P McDonogh,0,L Comer,NR,N/A,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Gesture (IRE),C D Hayes,0,Eoghan O'Neill,5th,12 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Bad Desire (FR),D McMonagle,0,J P O'Brien,4th,1/2 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Keeper's Heart (IRE),C T Keane,0,G M Lyons,3rd,1 3/4 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Kinesiology,S Foley,0,Mrs J Harrington,2nd,Neck,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Portland (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Ich Liebe Berlin (IRE),D P McDonogh,0,L Comer,NR,N/A,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Gesture (IRE),C D Hayes,0,Eoghan O'Neill,5th,12 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Bad Desire (FR),D McMonagle,0,J P O'Brien,4th,1/2 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Keeper's Heart (IRE),C T Keane,0,G M Lyons,3rd,1 3/4 l,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Kinesiology,S Foley,0,Mrs J Harrington,2nd,Neck,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 17:30,N/A,17:30,Good,1m 4f,Portland (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-5,-,True,121,16
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Firstman (FR),D King,0,Mrs C O'Leary,10th,Nose,7,10-2t,84,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Bring Us Paradise,P A Harnett,2,L Comer,9th,11 l,8,8-13t,67,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Astar (IRE),J J G Ryan,0,D K Weld,8th,1/2 l,4,10-0h,82,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Theophilos (IRE),J A Powell,0,J P Murtagh,7th,1 l,5,9-6,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Influential Lady (IRE),M W Hassett,2,J Barcoe,6th,1 1/4 l,10,8-8,62,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Jaafel (IRE),Adam Caffrey,0,C Byrnes,5th,Neck,6,9-8,76,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Sugaree (IRE),H J Horgan,2,J P O'Brien,4th,Neck,4,10-2,84,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,St Faz (FR),C Horgan,4,E J O'Grady,3rd,Neck,4,9-6h,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Bold Approach (IRE),Gabriella Hill,7,J S Bolger,2nd,1 l,8,9-1tp,69,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,No Hassle (IRE),S T McCullagh,0,S K Ryder,1st,N/A,7,9-6,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Firstman (FR),D King,0,Mrs C O'Leary,10th,Nose,7,10-2t,84,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Bring Us Paradise,P A Harnett,2,L Comer,9th,11 l,8,8-13t,67,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Astar (IRE),J J G Ryan,0,D K Weld,8th,1/2 l,4,10-0h,82,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Theophilos (IRE),J A Powell,0,J P Murtagh,7th,1 l,5,9-6,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Influential Lady (IRE),M W Hassett,2,J Barcoe,6th,1 1/4 l,10,8-8,62,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Jaafel (IRE),Adam Caffrey,0,C Byrnes,5th,Neck,6,9-8,76,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Sugaree (IRE),H J Horgan,2,J P O'Brien,4th,Neck,4,10-2,84,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,St Faz (FR),C Horgan,4,E J O'Grady,3rd,Neck,4,9-6h,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,Bold Approach (IRE),Gabriella Hill,7,J S Bolger,2nd,1 l,8,9-1tp,69,True,121,17
Leopardstown Racing Results | 6th June 2024 18:00,N/A,18:00,Good,1m 4f 180y,No Hassle (IRE),S T McCullagh,0,S K Ryder,1st,N/A,7,9-6,74,True,121,17
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Clean Energy (IRE),R P Cleary,0,J S Bolger,8th,1 l,3,8-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Quar Shamar (GER),S Foley,0,Mrs J Harrington,7th,Neck,4,9-9p,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Belhaven (IRE),D McMonagle,0,J P O'Brien,6th,1 1/2 l,5,9-4,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Formal Display,C T Keane,0,G M Lyons,5th,2 3/4 l,3,8-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Self Belief (IRE),W J Lee,0,W McCreery,4th,Short Head,5,9-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Unreasonable (IRE),D P McDonogh,0,J P O'Brien,3rd,3/4 l,3,8-7,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Cairo (IRE),K T O'Neill,0,Alice Haynes,2nd,2 1/4 l,4,9-9t1,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Tarawa (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-4p,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Clean Energy (IRE),R P Cleary,0,J S Bolger,8th,1 l,3,8-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Quar Shamar (GER),S Foley,0,Mrs J Harrington,7th,Neck,4,9-9p,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Belhaven (IRE),D McMonagle,0,J P O'Brien,6th,1 1/2 l,5,9-4,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Formal Display,C T Keane,0,G M Lyons,5th,2 3/4 l,3,8-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Self Belief (IRE),W J Lee,0,W McCreery,4th,Short Head,5,9-12,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Unreasonable (IRE),D P McDonogh,0,J P O'Brien,3rd,3/4 l,3,8-7,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Cairo (IRE),K T O'Neill,0,Alice Haynes,2nd,2 1/4 l,4,9-9t1,-,True,121,18
Leopardstown Racing Results | 6th June 2024 18:30,N/A,18:30,Good,1m 1f,Tarawa (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-4p,-,True,121,18
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,This Songisforyou (USA),C T Keane,0,E Mullins,7th,Neck,6,10-0,93,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Exquisite Acclaim (IRE),Adam Caffrey,5,A McGuinness,6th,1 1/2 l,5,9-7p,86,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Longbourn (IRE),D McMonagle,0,R O'Sullivan,5th,Head,8,10-0t,93,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,True Statesman (IRE),R P Cleary,0,A McGuinness,4th,Head,4,8-7b,72,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Shigar (IRE),C D Maxwell,0,W Durkan,3rd,3/4 l,5,9-3,82,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Livio Milo (IRE),C D Hayes,0,D K Weld,2nd,1/2 l,4,9-2p,81,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Timourid (IRE),J M Sheridan,0,P W Flynn,1st,N/A,7,9-2tp,81,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,This Songisforyou (USA),C T Keane,0,E Mullins,7th,Neck,6,10-0,93,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Exquisite Acclaim (IRE),Adam Caffrey,5,A McGuinness,6th,1 1/2 l,5,9-7p,86,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Longbourn (IRE),D McMonagle,0,R O'Sullivan,5th,Head,8,10-0t,93,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,True Statesman (IRE),R P Cleary,0,A McGuinness,4th,Head,4,8-7b,72,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Shigar (IRE),C D Maxwell,0,W Durkan,3rd,3/4 l,5,9-3,82,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Livio Milo (IRE),C D Hayes,0,D K Weld,2nd,1/2 l,4,9-2p,81,True,121,19
Leopardstown Racing Results | 6th June 2024 19:00,N/A,19:00,Good,1m 1f,Timourid (IRE),J M Sheridan,0,P W Flynn,1st,N/A,7,9-2tp,81,True,121,19
Leopardstown Racing Results | 6th June 2024 19:30,N/A,19:30,Good,1m,Currumbin (IRE),N M Crosse,0,John O'Donoghue,NR,N/A,3,9-2,76,True,121,20
Leopardstown Racing Results | 6th June 2024 19:30,N/A,19:30,Good,1m,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,11th,4 1/2 l,4,10-0b,77,True,121,20
Leopardstown Racing Results | 6th June 2024 19:30,N/A,19:30,Good,1m,Chavajod,R Coakley,0,D P Coakley,10th,Neck,6,10-0b,77,True,121,20
Leopardstown Racing Results | 6th June 2024 19:30,N/A,19:30,Good,1m,Rampage (IRE),J J G Ryan,5,T G McCourt,9th,Head,5,9-6tv,69,True,121,20
Leopardstown Racing Results | 6th June 2024 19:30,N/A,19:30,Good,1m,Volatile Analyst (USA),C J MacRedmond,5,A McGuinness,8th,1 l,7,10-2p,79,True,121,20
